title,author,length,release_date,views
"TWICE ""What is Love?"" M/V",jypentertainment,3:44,3 天前,"29,808,507"
HowFun / How哥的才藝表演,HowFun,3:03,3 天前,"503,575"
吳姍儒聽KID偷吃道歉 神反應笑壞大家,噓!星聞,2:01,1 天前,"207,043"
夫妻檔 VS 夫妻檔！！螢幕放閃無極限！？不！！玩很大就是要讓你們吵翻天～～綜藝玩很大 x SEXYLOOK 【第九十六回 馬來西亞 森美蘭】20180407【第191集完整版】,我愛玩很大,1:35:21,3 天前,"843,764"
陳奕迅 Eason Chan 《我們》Us [Official MV],Eason Chan,4:34,3 天前,"603,698"
戴佩妮邀歌迷互动遭遇笑场《怎样》整曲-咪咕音乐现场,咪咕官方频道 MiGu Official Channel,4:34,3 天前,"275,093"
停在你食物上的蒼蠅都做了什麼事,腦補給,3:25,1 天前,"241,316"
【筋很開】KID肉麻簡訊撩奶精　還開許維恩愛車約會 | 蘋果娛樂 | 台灣蘋果日報,台灣蘋果日報,1:47,1 天前,"105,043"
《姊的時代 Iron Ladies》第13集最終回預告 #夢想與幸福篇,李加銘,0:32,2 天前,"72,009"
這群人 TGOP │我家北鼻最棒了！第四集 My Baby is the Best【EP04】,這群人TGOP,3:31,12 小時前,"328,880"
【Joeman】混入麵店當店員！到底會不會被認出來？ft.丸亀製麵,Joeman,13:15,4 天前,"599,365"
【完整版】從小送出國　有什麼好有什麼愁？2018.04.10小明星大跟班,我愛小明星大跟班,45:30,2 天前,"283,031"
金家好媳婦 第64集 100% Wife EP64【全】,三立台劇,1:59:11,1 天前,"439,190"
食尚玩家【彰化】浩翔莎三巨頭睽違6年大合體！浩子惡整讓莎莎哭了(完整版),食尚玩家,47:39,13 小時前,"39,763"
【姊的時代】青青姊反擊吐冤氣 小三被賞巴掌哭哭,NewShowBiz完全娛樂,2:43,4 天前,"208,186"
[連環泡]大大的握手教學與他的空氣零食,連環泡有芒果影片專區,3:19,23 小時前,"92,314"
"""一直都笑咪咪""！獨家專訪孫安佐同學 稱孫安佐低調.單純…憂""玩笑話""是因為""被欺負｜呂惠敏主持｜【驚爆新聞線完整版】20180409｜三立新聞台",三立LIVE新聞,1:38:27,3 天前,"273,968"
當兵恐懼症！美妝男抽兵籤秒淚崩　網友笑翻：別撿肥皂｜三立新聞網SETN.com,SETN三立新聞網,1:45,3 天前,"606,402"
KID能跟Sandy在一起嗎　吳宗憲秒回：不行啊,ETtoday星光雲/官方平台,2:48,5 天前,"484,157"
【0408】卡提諾狂新聞 #110,卡提諾狂新聞,7:50,4 天前,"706,046"
【滴妹Vlog】這一天完成了一件人生中的大事！♥ 滴妹 feat. 閨蜜們魚乾/瓜瓜/胖茲/球球,滴妹,3:26,5 天前,"909,228"
幸福來了 The Way to Happiness Ep200,民視戲劇館,1:50:46,2 天前,"353,208"
和男友交往半年後去他家，見到他母親我覺得很面熟，但不敢多問。臨走時，他母親問我還沒想起她是​​誰嗎？,健康養生站,10:26,2 天前,"131,332"
